,question,questiontype,keyword
4886,"(how,ADV) (many,ADJ) (other,ADJ) (region,NOUN) (served,VERB) (are,VERB) (there,ADV) (of,ADP) (the,DET) (companies,NOUN) (which,PRON) (serves,VERB) (pacific,PROPN,B-LOC)  (ocean,PROPN,E-LOC)  (?,.)","How, which","Pacific Ocean, region , served, companies"
4887,"(how,ADV) (many,ADJ) (other,ADJ) (region,NOUN) (served,VERB) (are,VERB) (there,ADV) (of,ADP) (the,DET) (companies,NOUN) (which,PRON) (serves,VERB) (pacific,PROPN,B-LOC)  (ocean,PROPN,E-LOC)  (?,.)",HOW MANY,"REGION,SERVERD,COMPANIES,SERVES,PACIFIC OCEAN"
4888,"(of,ADP) (the,DET) (places,NOUN) (where,ADV) (kurt,PROPN,B-ORG)  (vonnegut,PROPN,I-ORG)  (memorial,PROPN,I-ORG)  (library,PROPN,E-ORG)  (exists,,VERB) (where,ADV) (did,VERB) (louis,PROPN,B-PER)  (lecocq,PROPN,E-PER)  (die,VERB) (?,.)",Where,"Kurt Vonnegut,Memorial Library,Louis LeCocq,die"
4889,"(of,ADP) (the,DET) (places,NOUN) (where,ADV) (kurt,PROPN,B-ORG)  (vonnegut,PROPN,I-ORG)  (memorial,PROPN,I-ORG)  (library,PROPN,E-ORG)  (exists,,VERB) (where,ADV) (did,VERB) (louis,PROPN,B-PER)  (lecocq,PROPN,E-PER)  (die,VERB) (?,.)",where,"places , Kurt, Vonnegut ,Memorial, Library ,exists,  Louis, LeCocq, die"
4890,"(how,ADV) (many,ADJ) (things,NOUN) (belong,VERB) (to,ADP) (a,DET) (division,NOUN) (of,ADP) (plant,NOUN) (kingdom,NOUN) (?,.)",how many,"division of ,plat kingdom"
4891,"(how,ADV) (many,ADJ) (things,NOUN) (belong,VERB) (to,ADP) (a,DET) (division,NOUN) (of,ADP) (plant,NOUN) (kingdom,NOUN) (?,.)",Howmany,"things,division,plant kingdom"
4892,"(who,PRON) (is,VERB) (the,DET) (musical,ADJ) (artist,NOUN) (worked,VERB) (for,ADP) (labels,NOUN) (celluloid,PROPN,B-ORG)  (records,PROPN,E-ORG)  (and,CCONJ) (victor,PROPN,B-ORG)  (entertainment,PROPN,E-ORG)  (?,.)",who,"musical artist,celluloid records, victor entertainment"
4893,"(who,PRON) (is,VERB) (the,DET) (musical,ADJ) (artist,NOUN) (worked,VERB) (for,ADP) (labels,NOUN) (celluloid,PROPN,B-ORG)  (records,PROPN,E-ORG)  (and,CCONJ) (victor,PROPN,B-ORG)  (entertainment,PROPN,E-ORG)  (?,.)",Who,"musical, artist, Celluloid Records, Victor Entertainment"
4894,"(what,PRON) (is,VERB) (the,DET) (college,NOUN) (of,ADP) (the,DET) (basketball,NOUN) (player,NOUN) (who,PRON) (lives,VERB) (in,ADP) (ashton,PROPN,B-LOC)  (historic,PROPN,E-LOC)  (district,NOUN) (?,.)",What,"college, basketball player, lives, Ashton Historic district"
4895,"(what,PRON) (is,VERB) (the,DET) (college,NOUN) (of,ADP) (the,DET) (basketball,NOUN) (player,NOUN) (who,PRON) (lives,VERB) (in,ADP) (ashton,PROPN,B-LOC)  (historic,PROPN,E-LOC)  (district,NOUN) (?,.)",What,"college,basketball,player,lives,Ashton,Historic,District"
4896,"(who,PRON) (owns,VERB) (the,DET) (ford,NOUN) (kansas,NOUN) (assembly,NOUN) (plant,NOUN) (?,.)",Who,"kansas ,assembly ,plant"
4897,"(who,PRON) (owns,VERB) (the,DET) (ford,NOUN) (kansas,NOUN) (assembly,NOUN) (plant,NOUN) (?,.)",Who,"owns, ford kansas, assembly, plant"
4898,"(what,PRON) (is,VERB) (that,DET) (show,NOUN) (whose,PRON) (theme,NOUN) (was,VERB) (composed,VERB) (by,ADP) (joel,PROPN,B-PER)  (goodman,PROPN,E-PER)  (?,.)",What,"show,theme,composed,Joel Goodman"
4899,"(what,PRON) (is,VERB) (that,DET) (show,NOUN) (whose,PRON) (theme,NOUN) (was,VERB) (composed,VERB) (by,ADP) (joel,PROPN,B-PER)  (goodman,PROPN,E-PER)  (?,.)",What is,"theme, composed, Joel Goodman"
4900,"(which,PRON) (founding,VERB) (cities,NOUN) (of,ADP) (young,PROPN,B-ORG)  (americans,PROPN,I-ORG)  (bank,PROPN,E-ORG)  (is,VERB) (also,ADV) (the,DET) (location,NOUN) (of,ADP) (denver,PROPN,B-ORG)  (broncos,PROPN,E-ORG)  (?,.)",Which,"founding, cities, Young Americans Bank, also, location, Denver Broncos"
4901,"(which,PRON) (founding,VERB) (cities,NOUN) (of,ADP) (young,PROPN,B-ORG)  (americans,PROPN,I-ORG)  (bank,PROPN,E-ORG)  (is,VERB) (also,ADV) (the,DET) (location,NOUN) (of,ADP) (denver,PROPN,B-ORG)  (broncos,PROPN,E-ORG)  (?,.)",Which,"founding cities, Young Americans Bank, Denver Broncos"
4902,"(what,PRON) (is,VERB) (the,DET) (label,NOUN) (of,ADP) (i,PRON) (pray,VERB) (on,ADP) (christmas,PROPN) (?,.)",WHAT,"LABEL PRAY,CHRISTMAS"
4903,"(what,PRON) (is,VERB) (the,DET) (label,NOUN) (of,ADP) (i,PRON) (pray,VERB) (on,ADP) (christmas,PROPN) (?,.)",What,"label, I Pray on Christmas."
4904,"(for,ADP) (which,PRON) (other,ADJ) (teams,NOUN) (do,VERB) (members,NOUN) (of,ADP) (tanzanian,ADJ) (national,ADJ) (football,NOUN) (team,NOUN) (play,VERB) (?,.)",Which,"teams, members, tanzanian, football, play"
4905,"(for,ADP) (which,PRON) (other,ADJ) (teams,NOUN) (do,VERB) (members,NOUN) (of,ADP) (tanzanian,ADJ) (national,ADJ) (football,NOUN) (team,NOUN) (play,VERB) (?,.)",for which,"teams, members, tanzanian, national football team, play"
4906,"(is,VERB) (the,DET) (college,PROPN) (sainte,PROPN,B-PER)  (marie,PROPN,E-PER)  (in,ADP) (mauritius,PROPN,S-LOC)  (?,.)",yes/no,"College Sainte Marie, Mauritius"
4907,"(is,VERB) (the,DET) (college,PROPN) (sainte,PROPN,B-PER)  (marie,PROPN,E-PER)  (in,ADP) (mauritius,PROPN,S-LOC)  (?,.)",yes/no,"College Sainte Marie, Mauritius"
4908,"(name,VERB) (the,DET) (sitcoms,NOUN) (whose,PRON) (network's,NOUN) (owning,VERB) (company,NOUN) (is,VERB) (chris-craft,PROPN,B-ORG)  (industries,PROPN,E-ORG)  (?,.)",List,"sitcoms, network, owning company, Chris-Craft Industries"
4909,"(name,VERB) (the,DET) (sitcoms,NOUN) (whose,PRON) (network's,NOUN) (owning,VERB) (company,NOUN) (is,VERB) (chris-craft,PROPN,B-ORG)  (industries,PROPN,E-ORG)  (?,.)",whose,"Name ,sitcoms ,network's ,owning ,company , Chris-Craft ,Industries"
4910,"(what,PRON) (is,VERB) (the,DET) (governing,VERB) (body,NOUN) (of,ADP) (burro,PROPN,B-LOC)  (flats,PROPN,I-LOC)  (painted,PROPN,I-LOC)  (cave,PROPN,E-LOC)  (?,.)",What,"governing, body, Burro, Flats, Painted, Cave"
4911,"(what,PRON) (is,VERB) (the,DET) (governing,VERB) (body,NOUN) (of,ADP) (burro,PROPN,B-LOC)  (flats,PROPN,I-LOC)  (painted,PROPN,I-LOC)  (cave,PROPN,E-LOC)  (?,.)",What,"governing body, Burro Flats Painted Cave"
4912,"(what,PRON) (is,VERB) (the,DET) (field,NOUN) (of,ADP) (the,DET) (jon,PROPN,B-PER)  (speelman,PROPN,E-PER)  (and,CCONJ) (occupation,NOUN) (of,ADP) (the,DET) (karen,PROPN,B-PER)  (grigorian,PROPN,E-PER)  (?,.)",What,"field ,Jon Speelman,occupation ,Karen Grigorian"
4913,"(what,PRON) (is,VERB) (the,DET) (field,NOUN) (of,ADP) (the,DET) (jon,PROPN,B-PER)  (speelman,PROPN,E-PER)  (and,CCONJ) (occupation,NOUN) (of,ADP) (the,DET) (karen,PROPN,B-PER)  (grigorian,PROPN,E-PER)  (?,.)",What,"field, Jon Speelman, occupation, Karen Grigorian"
4914,"(list,VERB) (the,DET) (destination,NOUN) (of,ADP) (novair,PROPN,B-ORG)  (international,PROPN,I-ORG)  (airways,PROPN,E-ORG)  (?,.)",List,"Destination, novair, international airport"
4915,"(list,VERB) (the,DET) (destination,NOUN) (of,ADP) (novair,PROPN,B-ORG)  (international,PROPN,I-ORG)  (airways,PROPN,E-ORG)  (?,.)",List,"destination,  Novair International Airways"
4916,"(did,VERB) (hank,PROPN,B-PER)  (williams,PROPN,E-PER)  (jr.,PROPN) (make,VERB) (early,PROPN) (in,ADP) (the,DET) (morning,NOUN) (and,CCONJ) (late,PROPN) (at,ADP) (night,NOUN) (?,.)",yes or no,"Hank Williams Jr.,"
4917,"(did,VERB) (hank,PROPN,B-PER)  (williams,PROPN,E-PER)  (jr.,PROPN) (make,VERB) (early,PROPN) (in,ADP) (the,DET) (morning,NOUN) (and,CCONJ) (late,PROPN) (at,ADP) (night,NOUN) (?,.)",yes/no,"hank williams jr, make, early in the morning, late at night"
4918,"(who,PRON) (is,VERB) (the,DET) (spouse,NOUN) (of,ADP) (willian,PROPN,B-PER)  (menalaus,PROPN,E-PER)  (?,.)",who,"spouse, willian menalaus"
4919,"(who,PRON) (is,VERB) (the,DET) (spouse,NOUN) (of,ADP) (willian,PROPN,B-PER)  (menalaus,PROPN,E-PER)  (?,.)",Who,"spouse, willian menalaus"
4920,"(terry,PROPN,B-PER)  (pratchett,PROPN,E-PER)  (has,VERB) (written,VERB) (about,ADP) (how,ADV) (many,ADJ) (topics,NOUN) (?,.)",How many,"Topics, written by, Terry Pratchett"
4921,"(terry,PROPN,B-PER)  (pratchett,PROPN,E-PER)  (has,VERB) (written,VERB) (about,ADP) (how,ADV) (many,ADJ) (topics,NOUN) (?,.)",How many,"Terry Pratchett, written, topics"
4922,"(what,PRON) (is,VERB) (the,DET) (title,NOUN) (of,ADP) (the,DET) (successor,NOUN) (of,ADP) (kaulahea,PROPN,B-PER)  (i,PRON,E-PER)  (?,.)",What,"title , successor , Kaulahea"
4923,"(what,PRON) (is,VERB) (the,DET) (title,NOUN) (of,ADP) (the,DET) (successor,NOUN) (of,ADP) (kaulahea,PROPN,B-PER)  (i,PRON,E-PER)  (?,.)",what,"title,successor,kaulahea I"
4924,"(what,PRON) (are,VERB) (the,DET) (countries,NOUN) (for,ADP) (which,PRON) (history,PROPN,B-ORG)  (of,ADP,I-ORG)  (trier,PROPN,E-ORG)  (principal,NOUN) (to,ADP) (?,.)",What,"countries, History, Trier principal"
4925,"(what,PRON) (are,VERB) (the,DET) (countries,NOUN) (for,ADP) (which,PRON) (history,PROPN,B-ORG)  (of,ADP,I-ORG)  (trier,PROPN,E-ORG)  (principal,NOUN) (to,ADP) (?,.)",what,"countries, history, trier principal"
4926,"(which,PRON) (shows,VERB) (theme,NOUN) (music,NOUN) (is,VERB) (composed,VERB) (by,ADP) (a,DET) (band,NOUN) (which,PRON) (has,VERB) (larry,PROPN,B-PER)  (lalonde,PROPN,E-PER)  (in,ADP) (it,PRON) (?,.)",What,"show, theme music, composed, band, Larry Lalonde, in"
4927,"(which,PRON) (shows,VERB) (theme,NOUN) (music,NOUN) (is,VERB) (composed,VERB) (by,ADP) (a,DET) (band,NOUN) (which,PRON) (has,VERB) (larry,PROPN,B-PER)  (lalonde,PROPN,E-PER)  (in,ADP) (it,PRON) (?,.)",Which,"shows ,theme music,composed ,band ,Larry Lalonde"
4928,"(name,VERB) (the,DET) (river,NOUN) (passing,VERB) (through,ADP) (reading,PROPN,B-LOC)  (berkshire,PROPN,E-LOC)  (and,CCONJ) (has,VERB) (mouth,NOUN) (place,NOUN) (at,ADP) (essex,PROPN,S-LOC)  (?,.)",Name,"river, passing, Reading , Berkshire, mouth place, Essex"
4929,"(name,VERB) (the,DET) (river,NOUN) (passing,VERB) (through,ADP) (reading,PROPN,B-LOC)  (berkshire,PROPN,E-LOC)  (and,CCONJ) (has,VERB) (mouth,NOUN) (place,NOUN) (at,ADP) (essex,PROPN,S-LOC)  (?,.)",name,"river, passing through, Reading Berkshire, mouth place, Essex"
4930,"(count,VERB) (the,DET) (number,NOUN) (of,ADP) (actors,NOUN) (in,ADP) (lucy,PROPN,B-PER)  (sullivan,PROPN,E-PER)  (is,VERB) (getting,VERB) (?,.)",Count,"number of actors, Lucy Sullivan Is Getting Married"
4931,"(count,VERB) (the,DET) (number,NOUN) (of,ADP) (actors,NOUN) (in,ADP) (lucy,PROPN,B-PER)  (sullivan,PROPN,E-PER)  (is,VERB) (getting,VERB) (?,.)",How many,"number, actors, Lucy Sullivan Is Getting Married"
4932,"(what,PRON) (are,VERB) (some,DET) (cartoons,NOUN) (distributed,VERB) (by,ADP) (a,DET) (subsidiary,NOUN) (of,ADP) (time,PROPN,B-ORG)  (warner,PROPN,E-ORG)  (?,.)",what,"cartoons, distributed, subsidiary, Time Warner"
4933,"(what,PRON) (are,VERB) (some,DET) (cartoons,NOUN) (distributed,VERB) (by,ADP) (a,DET) (subsidiary,NOUN) (of,ADP) (time,PROPN,B-ORG)  (warner,PROPN,E-ORG)  (?,.)",what,"cartoons, subsidiary of Time Warner"
4934,"(which,PRON) (indian,ADJ) (party,NOUN) (has,VERB) (won,VERB) (the,DET) (arunachal,ADJ) (pradesh,NOUN) (elections,NOUN) (of,ADP) (2014,,NUM) (and,CCONJ) (has,VERB) (been,VERB) (in,ADP) (the,DET) (4th,ADJ) (legislative,ADJ) (assembly,NOUN) (?,.)",Which,"indian, party, won, arunachal pradesh, elections, 2014, 4th legislative assembly"
4935,"(which,PRON) (indian,ADJ) (party,NOUN) (has,VERB) (won,VERB) (the,DET) (arunachal,ADJ) (pradesh,NOUN) (elections,NOUN) (of,ADP) (2014,,NUM) (and,CCONJ) (has,VERB) (been,VERB) (in,ADP) (the,DET) (4th,ADJ) (legislative,ADJ) (assembly,NOUN) (?,.)",Which,"indian party, won, arunachal pradesh, elections of 2014, 4th, legislative assembly"
4936,"(which,PRON) (nation,NOUN) (is,VERB) (the,DET) (origin,NOUN) (of,ADP) (dornier,PROPN,B-ORG)  (aerodyne,PROPN,E-ORG)  (?,.)",Which,"nation, origin, Dornier Aerodyne"
4937,"(which,PRON) (nation,NOUN) (is,VERB) (the,DET) (origin,NOUN) (of,ADP) (dornier,PROPN,B-ORG)  (aerodyne,PROPN,E-ORG)  (?,.)",Which,"nation, origin, Dornier Aerodyne"
4938,"(whose,PRON) (famous,ADJ) (works,NOUN) (have,VERB) (been,VERB) (illustrated,VERB) (by,ADP) (e,PROPN,B-ORG)  (w,PROPN,I-ORG)  (kemble,PROPN,E-ORG)  (?,.)",whose,"work, illustrated, E W Kemble"
4939,"(whose,PRON) (famous,ADJ) (works,NOUN) (have,VERB) (been,VERB) (illustrated,VERB) (by,ADP) (e,PROPN,B-ORG)  (w,PROPN,I-ORG)  (kemble,PROPN,E-ORG)  (?,.)",Whose,"famous, works, illustrated,E W Kemble"
4940,"(how,ADV) (many,ADJ) (rivers,NOUN) (end,VERB) (in,ADP) (the,DET) (indian,PROPN,B-LOC)  (ocean,PROPN,E-LOC)  (?,.)",How many,"rivers, end, in, Indian Ocean"
4941,"(how,ADV) (many,ADJ) (rivers,NOUN) (end,VERB) (in,ADP) (the,DET) (indian,PROPN,B-LOC)  (ocean,PROPN,E-LOC)  (?,.)",how many,"rivers, end, indian ocean"
4942,"(who,PRON) (are,VERB) (the,DET) (former,ADJ) (partners,NOUN) (of,ADP) (the,DET) (figure,NOUN) (skaters,NOUN) (whose,PRON) (performance,NOUN) (have,VERB) (been,VERB) (choreographed,VERB) (by,ADP) (catarina,PROPN,B-PER)  (lindgren,PROPN,E-PER)  (in,ADP) (the,DET) (past,NOUN) (?,.)",Who,"former partners, figure skaters, performance, choreographed, Catarina Lindgren, past"
4943,"(who,PRON) (are,VERB) (the,DET) (former,ADJ) (partners,NOUN) (of,ADP) (the,DET) (figure,NOUN) (skaters,NOUN) (whose,PRON) (performance,NOUN) (have,VERB) (been,VERB) (choreographed,VERB) (by,ADP) (catarina,PROPN,B-PER)  (lindgren,PROPN,E-PER)  (in,ADP) (the,DET) (past,NOUN) (?,.)",Who,"former partners, figure skaters, performance, choreographed, Catarina Lindgren, past"
4944,"(what,PRON) (mammals,NOUN) (are,VERB) (classified,VERB) (into,ADP) (diprotodontia,PROPN,S-ORG)  (?,.)",What,"mammals, classified, Diprotodontia"
4945,"(what,PRON) (mammals,NOUN) (are,VERB) (classified,VERB) (into,ADP) (diprotodontia,PROPN,S-ORG)  (?,.)",What,"mammals , classified , Diprotodontia"
4946,"(where,ADV) (was,VERB) (antonio,PROPN,B-PER)  (giannini,PROPN,E-PER)  (born,VERB) (?,.)",where,"Antonio Giannini, born"
4947,"(where,ADV) (was,VERB) (antonio,PROPN,B-PER)  (giannini,PROPN,E-PER)  (born,VERB) (?,.)",Where,"Antonio Giannini, born"
4948,"(in,ADP) (how,ADV) (many,ADJ) (regions,NOUN) (is,VERB) (english,PROPN,B-MISC)  (american,PROPN,E-MISC)  (spoken,VERB) (?,.)",how many,"regions, English American, spoken"
4949,"(in,ADP) (how,ADV) (many,ADJ) (regions,NOUN) (is,VERB) (english,PROPN,B-MISC)  (american,PROPN,E-MISC)  (spoken,VERB) (?,.)",HOW MANY,"REGIONS, ENGLISH AMERICAN, SPOKEN"
4950,"(who,PRON) (was,VERB) (once,ADV) (married,ADJ) (to,ADP) (both,CCONJ) (kelly,PROPN,B-PER)  (brook,PROPN,E-PER)  (and,CCONJ) (rosie,PROPN,B-PER)  (huntington-whiteley,PROPN,E-PER)  (?,.)",Who,"married, Kelly Brook, Rosie Huntington-Whiteley"
4951,"(who,PRON) (was,VERB) (once,ADV) (married,ADJ) (to,ADP) (both,CCONJ) (kelly,PROPN,B-PER)  (brook,PROPN,E-PER)  (and,CCONJ) (rosie,PROPN,B-PER)  (huntington-whiteley,PROPN,E-PER)  (?,.)",who,"married, Kelly Brook, Rosie Huntington-whiteley"
4952,"(name,VERB) (the,DET) (home,NOUN) (town,NOUN) (of,ADP) (rolando,PROPN,B-PER)  (gomez,PROPN,E-PER)  (?,.)",name,"home, town, rolando gomez"
4953,"(name,VERB) (the,DET) (home,NOUN) (town,NOUN) (of,ADP) (rolando,PROPN,B-PER)  (gomez,PROPN,E-PER)  (?,.)",Name,"home town, Rolando Gomez"
4954,"(the,DET) (other,PROPN,B-ORG)  (side,PROPN,E-ORG)  (has,VERB) (hosted,VERB) (how,ADV) (many,ADJ) (guests,NOUN) (?,.)",how many,"Other , Side , hosted , guests"
4955,"(the,DET) (other,PROPN,B-ORG)  (side,PROPN,E-ORG)  (has,VERB) (hosted,VERB) (how,ADV) (many,ADJ) (guests,NOUN) (?,.)",how many,"Other Side, hosted, guests"
4956,"(name,VERB) (some,DET) (politicians,NOUN) (buried,VERB) (in,ADP) (a,DET) (place,NOUN) (near,ADP) (orange,PROPN,B-LOC)  (virginia,PROPN,E-LOC)  (?,.)",Name,"politicians, buried, near, Orange Virginia"
4957,"(name,VERB) (some,DET) (politicians,NOUN) (buried,VERB) (in,ADP) (a,DET) (place,NOUN) (near,ADP) (orange,PROPN,B-LOC)  (virginia,PROPN,E-LOC)  (?,.)",Name,"Politicians  buried, near Orange Virginia"
4958,"(which,PRON) (fox,PROPN,S-PER)  (show,NOUN) (is,VERB) (presented,VERB) (by,ADP) (ryan,PROPN,B-PER)  (seacrest,PROPN,E-PER)  (?,.)",Which,"show,presented,Ryan Seacrest"
4959,"(which,PRON) (fox,PROPN,S-PER)  (show,NOUN) (is,VERB) (presented,VERB) (by,ADP) (ryan,PROPN,B-PER)  (seacrest,PROPN,E-PER)  (?,.)",which,"fox show,presented,Ryan Seacrest"
4960,"(name,VERB) (the,DET) (river,NOUN) (with,ADP) (source,NOUN) (as,ADP) (columbia,PROPN,B-LOC)  (lake,PROPN,E-LOC)  (and,CCONJ) (river,NOUN) (mouth,NOUN) (is,VERB) (located,VERB) (in,ADP) (clatsop,PROPN,B-LOC)  (country,PROPN,E-LOC)  (?,.)",What,"Name, river, source, Columbia Lake, river mouth in Clatsop Country"
4961,"(name,VERB) (the,DET) (river,NOUN) (with,ADP) (source,NOUN) (as,ADP) (columbia,PROPN,B-LOC)  (lake,PROPN,E-LOC)  (and,CCONJ) (river,NOUN) (mouth,NOUN) (is,VERB) (located,VERB) (in,ADP) (clatsop,PROPN,B-LOC)  (country,PROPN,E-LOC)  (?,.)",Name,"river, source, Columbia Lake, mouth, located, Clatsop Country"
4962,"(which,PRON) (writer,NOUN) (of,ADP) (tales,PROPN,B-MISC)  (of,ADP) (suspense,PROPN,E-MISC)  (is,VERB) (also,ADV) (the,DET) (writer,NOUN) (of,ADP) (karakuri,X,B-ORG)  (dji,PROPN,I-ORG)  (ultimo,PROPN,E-ORG)  (?,.)",Which,"writer, Tales of Suspense, writer, karakuri Dji Ultimo"
4963,"(which,PRON) (writer,NOUN) (of,ADP) (tales,PROPN,B-MISC)  (of,ADP) (suspense,PROPN,E-MISC)  (is,VERB) (also,ADV) (the,DET) (writer,NOUN) (of,ADP) (karakuri,X,B-ORG)  (dji,PROPN,I-ORG)  (ultimo,PROPN,E-ORG)  (?,.)",Which,"Writer Tales of suspense,  and Writer Karakuri Dji Ultimo"
4964,"(which,PRON) (baseball,NOUN) (team,NOUN) (is,VERB) (owned,VERB) (by,ADP) (robert,PROPN,B-PER)  (nutting,PROPN,E-PER)  (?,.)",Which,"baseball , team , owned , Robert Nutting"
4965,"(which,PRON) (baseball,NOUN) (team,NOUN) (is,VERB) (owned,VERB) (by,ADP) (robert,PROPN,B-PER)  (nutting,PROPN,E-PER)  (?,.)",Which,"baseball,team,owned,Robert Nutting"
4966,"(is,VERB) (dave,PROPN,B-PER)  (schulz,PROPN,E-PER)  (a,DET) (band,NOUN) (member,NOUN) (of,ADP) (berlin,PROPN,S-LOC)  (?,.)",is,"dave schulz, band member, berlin"
4967,"(is,VERB) (dave,PROPN,B-PER)  (schulz,PROPN,E-PER)  (a,DET) (band,NOUN) (member,NOUN) (of,ADP) (berlin,PROPN,S-LOC)  (?,.)",YES OR NO,"Dave Schulz, band , member , Berlin"
4968,"(what,PRON) (is,VERB) (the,DET) (common,ADJ) (genere,NOUN) (of,ADP) (abhijit,PROPN,B-PER)  (kunte,PROPN,E-PER)  (and,CCONJ) (kasparov,PROPN,S-PER)  (?,.)",WHAT,"ABHIJIT KUNTE,KASPAROV,COMMON GENERE"
4969,"(what,PRON) (is,VERB) (the,DET) (common,ADJ) (genere,NOUN) (of,ADP) (abhijit,PROPN,B-PER)  (kunte,PROPN,E-PER)  (and,CCONJ) (kasparov,PROPN,S-PER)  (?,.)",what,"common genere, abhijit kunte, kasparov"
4970,"(what,PRON) (religion,NOUN) (did,VERB) (gamini,PROPN,B-PER)  (seneviratne,PROPN,E-PER)  (follow,VERB) (?,.)",What,"Religion, Gamini Seneviratne, follow"
4971,"(what,PRON) (religion,NOUN) (did,VERB) (gamini,PROPN,B-PER)  (seneviratne,PROPN,E-PER)  (follow,VERB) (?,.)",what,"religion,gamini seneviratne"
4972,"(where,ADV) (did,VERB) (george,NOUN) (f,X) (hoar,X) (and,CCONJ) (willian,NOUN) (langer,NOUN) (spend,VERB) (the,DET) (most,ADV) (important,ADJ) (time,NOUN) (of,ADP) (their,PRON) (political,ADJ) (career,NOUN) (?,.)",where,"george f hoar, william langer, important, time, political, career"
4973,"(where,ADV) (did,VERB) (george,NOUN) (f,X) (hoar,X) (and,CCONJ) (willian,NOUN) (langer,NOUN) (spend,VERB) (the,DET) (most,ADV) (important,ADJ) (time,NOUN) (of,ADP) (their,PRON) (political,ADJ) (career,NOUN) (?,.)",Where,"George f hoar, Willian Langer, spend, time, political Career,"
4974,"(which,PRON) (type,NOUN) (of,ADP) (building,NOUN) (is,VERB) (qun,PROPN,B-LOC)  (thnh,PROPN,I-LOC)  (temple,PROPN,E-LOC)  (?,.)",which,"building, qun thnh temple"
4975,"(which,PRON) (type,NOUN) (of,ADP) (building,NOUN) (is,VERB) (qun,PROPN,B-LOC)  (thnh,PROPN,I-LOC)  (temple,PROPN,E-LOC)  (?,.)",Which,"type, building, Qun Thnh Temple"
4976,"(list,VERB) (some,DET) (things,NOUN) (that,PRON) (swedish,ADJ,S-MISC)  (people,NOUN) (have,VERB) (become,VERB) (famous,ADJ) (for,ADP) (?,.)",list,"things, Swedish, people, become, famous"
4977,"(list,VERB) (some,DET) (things,NOUN) (that,PRON) (swedish,ADJ,S-MISC)  (people,NOUN) (have,VERB) (become,VERB) (famous,ADJ) (for,ADP) (?,.)",List,"things, Swedish, people, famous"
4978,"(what,PRON) (is,VERB) (the,DET) (death,NOUN) (location,NOUN) (of,ADP) (the,DET) (scientist,NOUN) (who,PRON) (is,VERB) (the,DET) (known,VERB) (authority,NOUN) (of,ADP) (hallopus,PROPN,S-MISC)  (?,.)",what,"death, location, scientist, Authority of Hallopus"
4979,"(what,PRON) (is,VERB) (the,DET) (death,NOUN) (location,NOUN) (of,ADP) (the,DET) (scientist,NOUN) (who,PRON) (is,VERB) (the,DET) (known,VERB) (authority,NOUN) (of,ADP) (hallopus,PROPN,S-MISC)  (?,.)",what,"death location, scientist, known authority, Hallopus"
4980,"(who,PRON) (is,VERB) (the,DET) (artist,NOUN) (of,ADP) (the,DET) (album,NOUN) (which,PRON) (has,VERB) (the,DET) (song,NOUN) (i,PRON) (can't,PROPN) (change,VERB) (the,DET) (world,NOUN,E-MISC)  (?,.)",Who,"artist, song, I Can't Change the World"
4981,"(who,PRON) (is,VERB) (the,DET) (artist,NOUN) (of,ADP) (the,DET) (album,NOUN) (which,PRON) (has,VERB) (the,DET) (song,NOUN) (i,PRON) (can't,PROPN) (change,VERB) (the,DET) (world,NOUN,E-MISC)  (?,.)",Who,"artist ,song , Can't  ,Change,World"
4982,"(is,VERB) (esther,PROPN,B-PER)  (alder,PROPN,E-PER)  (the,DET) (mayor,NOUN) (of,ADP) (geneva,PROPN,S-LOC)  (?,.)",Is,"Esther Alder, mayor, Geneva"
4983,"(is,VERB) (esther,PROPN,B-PER)  (alder,PROPN,E-PER)  (the,DET) (mayor,NOUN) (of,ADP) (geneva,PROPN,S-LOC)  (?,.)",Is,"Esther Alder, mayor, Geneva"
4984,"(cn,PROPN,B-ORG)  (atletic-barceloneta,PROPN,E-ORG)  (has,VERB) (a,DET) (stadium,NOUN) (in,ADP) (barcelona,PROPN,S-LOC)  (?,.)",What,"CN Atletic-Barceloneta, has a, stadium, Barcelona"
4985,"(cn,PROPN,B-ORG)  (atletic-barceloneta,PROPN,E-ORG)  (has,VERB) (a,DET) (stadium,NOUN) (in,ADP) (barcelona,PROPN,S-LOC)  (?,.)",Does,"CN Atletic-Barceloneta, stadium, in Barcelona"
4986,"(what,PRON) (are,VERB) (some,DET) (famous,ADJ) (people,NOUN) (out,ADP) (of,ADP) (the,DET) (filipinos,PROPN,S-MISC)  (?,.)",what,"some , famous , people , out , Filipinos"
4987,"(what,PRON) (are,VERB) (some,DET) (famous,ADJ) (people,NOUN) (out,ADP) (of,ADP) (the,DET) (filipinos,PROPN,S-MISC)  (?,.)",what,"famous, people, Filipinos"
4988,"(which,PRON) (city,NOUN) (is,VERB) (the,DET) (route,NOUN) (start,NOUN) (of,ADP) (the,DET) (moscow-kazan,PROPN,S-LOC)  (high-speed,ADJ) (railway,NOUN) (and,CCONJ) (birth,NOUN) (place,NOUN) (of,ADP) (the,DET) (ilya,PROPN,B-PER)  (savelev,PROPN,E-PER)  (?,.)",Which,"city, begins, route, train, birth, Moscow-Kazan, Ilya Savelev."
